# Simulation 13 (Up to date),,,
# 896 data points written for 4 variables.,,,
# Simulation warnings:,,,
#   Recovery device deployment at high speed (24.6 m/s),,,
#,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds,,,
# Event LAUNCH occurred at t=0 seconds,,,
0.01,6.83E-04,0.137,13.667
0.02,0.005,0.743,60.602
0.03,0.017,1.731,98.825
# Event LIFTOFF occurred at t=0.04 seconds,,,
0.04,0.04,2.741,101.082
0.05,0.072,3.735,99.446
0.06,0.114,4.713,97.808
0.07,0.166,5.675,96.247
0.08,0.228,6.635,95.943
0.09,0.299,7.595,96.072
0.1,0.38,8.557,96.2
0.11,0.47,9.52,96.329
0.12,0.57,10.484,96.458
0.13,0.675,11.405,96.582
0.138,0.778,12.253,96.697
0.146,0.882,13.043,96.803
0.154,0.984,13.785,96.903
# Event LAUNCHROD occurred at t=0.161 seconds,,,
0.161,1.087,14.489,96.997
0.172,1.25,15.545,97.12
0.189,1.517,17.133,97.304
0.213,1.966,19.52,97.58
0.25,2.749,23.116,97.989
0.3,4.027,28.037,98.551
0.35,5.553,32.99,99.159
0.4,7.327,37.973,99.757
0.45,9.351,42.986,100.344
0.5,11.626,48.027,100.917
0.55,14.154,53.097,101.477
0.6,16.937,58.195,102.02
0.65,19.974,63.319,102.543
0.7,23.269,68.469,103.044
0.75,26.822,73.643,103.52
0.8,30.634,78.841,103.977
0.85,34.706,84.061,104.414
0.9,39.041,89.303,104.841
0.95,43.637,94.566,105.278
1,48.498,99.851,105.712
1.05,53.623,105.161,106.228
1.1,59.015,110.532,107.456
1.15,64.678,115.974,108.872
1.2,70.614,121.487,110.263
1.25,76.828,127.068,111.625
1.3,83.323,132.717,112.956
1.35,90.102,138.431,114.243
1.4,97.167,144.171,114.733
1.45,104.518,149.882,114.134
1.5,112.154,155.562,113.483
1.55,120.074,161.208,112.793
1.6,128.274,166.819,112.096
1.65,136.755,172.396,111.428
1.7,145.513,177.94,110.769
1.75,154.548,183.451,110.088
1.8,163.857,188.926,109.36
1.85,173.44,194.363,108.56
1.9,183.293,199.759,107.692
1.95,193.415,205.109,106.767
2,203.803,210.412,105.809
2.05,214.455,215.668,104.864
2.1,225.369,220.876,103.932
2.15,236.542,226.038,102.985
2.2,247.971,231.151,101.953
2.25,259.656,236.21,100.842
2.3,271.59,241.165,98.727
2.35,283.768,245.954,95.409
2.4,296.182,250.577,92.118
2.45,308.821,254.981,87.702
2.5,321.672,259.077,81.546
2.55,334.721,262.864,75.357
2.6,347.952,266.359,69.526
2.65,361.354,269.713,66.685
2.7,374.921,272.957,64.51
2.75,388.647,276.092,62.327
2.8,402.527,279.118,60.118
2.85,416.556,282.032,57.865
2.9,430.728,284.832,55.587
2.95,445.037,287.518,53.329
3,459.477,290.093,51.1
3.05,474.044,292.556,48.845
3.1,488.731,294.909,46.624
3.15,503.533,297.17,44.786
3.2,518.446,299.34,42.993
3.25,533.465,301.42,41.175
3.3,548.586,303.409,39.299
3.35,563.804,305.308,37.744
3.4,579.115,307.136,36.398
3.45,594.516,308.899,35.06
3.5,610.003,310.594,33.7
3.55,625.574,312.221,32.349
3.6,641.224,313.782,31.061
3.65,656.951,315.295,30.097
3.7,672.753,316.764,29.204
3.75,688.626,318.189,28.349
3.8,704.57,319.571,27.501
3.85,720.582,320.904,26.481
3.9,736.655,322.004,21.865
3.95,752.771,322.612,12.102
4,768.892,322.26,-6.921
4.05,784.981,321.295,-19.1
4.1,801.013,319.973,-26.202
4.15,816.972,318.391,-31.351
4.2,832.85,316.738,-32.756
4.25,848.644,315.019,-34.075
4.3,864.35,313.235,-35.373
4.35,879.965,311.387,-36.656
4.4,895.485,309.416,-39.081
4.45,910.902,307.254,-42.883
4.5,926.206,304.904,-46.625
4.55,941.39,302.476,-48.116
4.6,956.454,300.081,-47.287
4.65,971.398,297.725,-46.544
4.7,986.226,295.404,-45.854
